step,laneID,WaitingTime,CO2
30,2_2,0.0,0.0
30,-4_0,0.0,4361.1080778926125
30,5_2,0.0,0.0
30,7_2,0.0,0.0
30,4_0,0.0,0.0
30,-1_0,0.0,4692.833635675435
30,3_0,0.0,10646.97669153278
30,-5_1,0.0,0.0
30,-9_2,0.0,0.0
30,1_2,0.0,0.0
30,-7_2,4.0,2624.699168122488
30,-8_1,0.0,0.0
30,-2_1,0.0,0.0
30,6_1,0.0,0.0
30,8_2,0.0,0.0
30,0_0,5.0,18932.18885390908
30,4_1,0.0,0.0
30,6_0,0.0,0.0
30,9_1,0.0,0.0
30,-3_0,1.0,5239.068693873543
30,-0_0,0.0,0.0
30,2_1,0.0,0.0
30,-6_0,8.0,7603.3313168011955
30,1_1,0.0,0.0
30,-5_0,5.0,2624.722222222222
30,7_1,0.0,0.0
30,2_0,0.0,0.0
30,5_0,0.0,0.0
30,-6_1,0.0,0.0
30,-8_0,0.0,0.0
30,-0_2,0.0,0.0
30,3_1,1.0,2615.098058311469
30,-5_2,7.0,2624.722222222222
30,-4_1,0.0,0.0
30,-9_1,0.0,0.0
30,9_0,0.0,0.0
30,-0_1,0.0,0.0
30,3_2,4.0,2624.63293525252
30,8_0,0.0,0.0
30,-8_2,14.0,9558.906127824175
30,7_0,0.0,0.0
30,-1_1,0.0,0.0
30,0_2,0.0,0.0
30,6_2,0.0,0.0
30,8_1,0.0,0.0
30,-1_2,0.0,12248.67537229921
30,-2_2,0.0,0.0
30,-7_1,0.0,0.0
30,-7_0,0.0,0.0
30,-9_0,3.0,2624.4128238683106
30,0_1,4.0,2624.6356360769887
30,9_2,0.0,0.0
30,-3_1,0.0,0.0
30,5_1,0.0,0.0
30,1_0,0.0,0.0
30,-6_2,0.0,0.0
30,4_2,0.0,0.0
30,-3_2,0.0,0.0
30,-4_2,2.0,2624.612436713166
30,-2_0,0.0,2541.5392050988153
60,2_2,0.0,0.0
60,-4_0,22.0,9409.566161518718
60,5_2,0.0,0.0
60,7_2,0.0,0.0
60,4_0,0.0,0.0
60,-1_0,27.0,2624.722222222222
60,3_0,0.0,7082.736194566871
60,-5_1,0.0,0.0
60,-9_2,0.0,0.0
60,1_2,0.0,0.0
60,-7_2,34.0,2624.722222222222
60,-8_1,0.0,0.0
60,-2_1,3.0,2624.722222222222
60,6_1,3.0,5596.152516574788
60,8_2,0.0,0.0
60,0_0,58.0,5249.444444444444
60,4_1,0.0,0.0
60,6_0,14.0,5249.411534937737
60,9_1,0.0,0.0
60,-3_0,0.0,5167.904053838701
60,-0_0,0.0,0.0
60,2_1,0.0,0.0
60,-6_0,44.0,13587.302516597318
60,1_1,0.0,0.0
60,-5_0,35.0,2624.722222222222
60,7_1,0.0,0.0
60,2_0,0.0,0.0
60,5_0,0.0,0.0
60,-6_1,18.0,7871.684372060552
60,-8_0,0.0,0.0
60,-0_2,0.0,0.0
60,3_1,0.0,0.0
60,-5_2,51.0,7874.151164058885
60,-4_1,19.0,6991.7844009154105
60,-9_1,0.0,0.0
60,9_0,0.0,0.0
60,-0_1,0.0,0.0
60,3_2,34.0,22675.315351541176
60,8_0,0.0,0.0
60,-8_2,0.0,3787.207947710514
60,7_0,0.0,0.0
60,-1_1,0.0,0.0
60,0_2,0.0,3097.650371338737
60,6_2,11.0,5243.448714003661
60,8_1,0.0,0.0
60,-1_2,57.0,15715.54185231351
60,-2_2,24.0,2624.722222222222
60,-7_1,0.0,0.0
60,-7_0,0.0,2552.365004415424
60,-9_0,33.0,2624.722222222222
60,0_1,67.0,12036.070294385547
60,9_2,0.0,0.0
60,-3_1,0.0,0.0
60,5_1,0.0,0.0
60,1_0,0.0,0.0
60,-6_2,6.0,4951.313138073872
60,4_2,0.0,0.0
60,-3_2,0.0,0.0
60,-4_2,35.0,5249.253076185723
60,-2_0,30.0,2624.722222222222
90,2_2,0.0,0.0
90,-4_0,76.0,5249.444444444444
90,5_2,0.0,0.0
90,7_2,0.0,0.0
90,4_0,0.0,0.0
90,-1_0,57.0,6224.333962415843
90,3_0,42.0,20861.146852948666
90,-5_1,7.0,6183.597830106053
90,-9_2,0.0,0.0
90,1_2,0.0,0.0
90,-7_2,93.0,5249.444444444444
90,-8_1,0.0,4939.465372038321
90,-2_1,33.0,2624.722222222222
90,6_1,0.0,0.0
90,8_2,0.0,0.0
90,0_0,0.0,2624.722222222222
90,4_1,0.0,0.0
90,6_0,0.0,0.0
90,9_1,0.0,0.0
90,-3_0,13.0,7505.003473974408
90,-0_0,0.0,0.0
90,2_1,0.0,0.0
90,-6_0,0.0,11237.931688928544
90,1_1,0.0,0.0
90,-5_0,65.0,16030.912658815932
90,7_1,0.0,0.0
90,2_0,0.0,0.0
90,5_0,0.0,0.0
90,-6_1,0.0,0.0
90,-8_0,0.0,0.0
90,-0_2,0.0,0.0
90,3_1,27.0,5249.444444444444
90,-5_2,173.0,18338.443719843886
90,-4_1,49.0,2624.722222222222
90,-9_1,22.0,2624.722222222222
90,9_0,0.0,0.0
90,-0_1,0.0,0.0
90,3_2,112.0,13123.593384177197
90,8_0,0.0,0.0
90,-8_2,36.0,7706.078925641366
90,7_0,0.0,0.0
90,-1_1,0.0,0.0
90,0_2,36.0,5249.444444444444
90,6_2,71.0,5249.444444444444
90,8_1,0.0,0.0
90,-1_2,222.0,18373.055555555555
90,-2_2,54.0,2624.722222222222
90,-7_1,0.0,0.0
90,-7_0,30.0,2624.722222222222
90,-9_0,63.0,7983.7736111171525
90,0_1,0.0,8112.81483289642
90,9_2,0.0,0.0
90,-3_1,14.0,5249.444444444444
90,5_1,0.0,0.0
90,1_0,0.0,0.0
90,-6_2,78.0,7874.166666666666
90,4_2,0.0,0.0
90,-3_2,43.0,7874.127174060584
90,-4_2,172.0,15748.333333333334
90,-2_0,60.0,2624.722222222222
120,2_2,0.0,0.0
120,-4_0,136.0,5249.444444444444
120,5_2,0.0,0.0
120,7_2,0.0,8997.509403474287
120,4_0,0.0,0.0
120,-1_0,87.0,5249.444444444444
120,3_0,0.0,5038.2696756230325
120,-5_1,49.0,5249.444444444444
120,-9_2,0.0,0.0
120,1_2,0.0,0.0
120,-7_2,153.0,5249.444444444444
120,-8_1,6.0,6983.767349913238
120,-2_1,63.0,2624.722222222222
120,6_1,0.0,0.0
120,8_2,0.0,0.0
120,0_0,43.0,7874.166666666666
120,4_1,0.0,0.0
120,6_0,11.0,2624.722222222222
120,9_1,0.0,0.0
120,-3_0,0.0,9750.47637525647
120,-0_0,0.0,0.0
120,2_1,0.0,0.0
120,-6_0,14.0,2624.722222222222
120,1_1,0.0,0.0
120,-5_0,112.0,5249.444444444444
120,7_1,0.0,0.0
120,2_0,0.0,0.0
120,5_0,0.0,0.0
120,-6_1,17.0,5249.380166536614
120,-8_0,10.0,7712.403367873232
120,-0_2,0.0,0.0
120,3_1,0.0,0.0
120,-5_2,356.0,20996.457999629198
120,-4_1,79.0,2624.722222222222
120,-9_1,76.0,10498.20509050276
120,9_0,0.0,0.0
120,-0_1,0.0,0.0
120,3_2,262.0,17578.73748499718
120,8_0,0.0,0.0
120,-8_2,166.0,13123.611111111111
120,7_0,0.0,0.0
120,-1_1,10.0,2624.722222222222
120,0_2,96.0,5249.444444444444
120,6_2,0.0,6631.702489102384
120,8_1,0.0,0.0
120,-1_2,445.0,23612.56524518636
120,-2_2,92.0,5249.444444444444
120,-7_1,0.0,0.0
120,-7_0,60.0,2624.722222222222
120,-9_0,129.0,18211.366944233338
120,0_1,40.0,5249.444444444444
120,9_2,0.0,0.0
120,-3_1,0.0,0.0
120,5_1,0.0,0.0
120,1_0,0.0,0.0
120,-6_2,169.0,10493.028598796403
120,4_2,0.0,0.0
120,-3_2,133.0,7874.166666666666
120,-4_2,363.0,20997.00478237562
120,-2_0,90.0,2624.722222222222
150,2_2,0.0,0.0
150,-4_0,196.0,5249.444444444444
150,5_2,0.0,0.0
150,7_2,0.0,0.0
150,4_0,0.0,0.0
150,-1_0,117.0,2624.722222222222
150,3_0,0.0,7795.031374052256
150,-5_1,109.0,5249.444444444444
150,-9_2,0.0,2591.758221825358
150,1_2,0.0,0.0
150,-7_2,213.0,5249.444444444444
150,-8_1,0.0,0.0
150,-2_1,93.0,2624.722222222222
150,6_1,30.0,2624.722222222222
150,8_2,0.0,0.0
150,0_0,133.0,7874.166666666666
150,4_1,0.0,0.0
150,6_0,47.0,7874.166666666666
150,9_1,0.0,0.0
150,-3_0,0.0,0.0
150,-0_0,0.0,1839.7683240218698
150,2_1,0.0,0.0
150,-6_0,54.0,10923.630379910648
150,1_1,0.0,0.0
150,-5_0,173.0,7864.284842146915
150,7_1,0.0,0.0
150,2_0,0.0,0.0
150,5_0,0.0,0.0
150,-6_1,77.0,5249.444444444444
150,-8_0,0.0,6166.181754292358
150,-0_2,0.0,0.0
150,3_1,0.0,0.0
150,-5_2,596.0,20997.777777777777
150,-4_1,109.0,2624.722222222222
150,-9_1,223.0,13123.611111111111
150,9_0,0.0,0.0
150,-0_1,0.0,0.0
150,3_2,0.0,0.0
150,8_0,0.0,0.0
150,-8_2,353.0,28855.84306268453
150,7_0,0.0,0.0
150,-1_1,40.0,2624.722222222222
150,0_2,156.0,5249.444444444444
150,6_2,41.0,5249.444444444444
150,8_1,0.0,0.0
150,-1_2,750.0,38960.168621042125
150,-2_2,152.0,5249.444444444444
150,-7_1,0.0,0.0
150,-7_0,90.0,2624.722222222222
150,-9_0,239.0,15821.717612373079
150,0_1,101.0,7872.89932932909
150,9_2,0.0,0.0
150,-3_1,0.0,0.0
150,5_1,0.0,0.0
150,1_0,0.0,0.0
150,-6_2,295.0,13123.611111111111
150,4_2,0.0,3868.9957734549594
150,-3_2,224.0,10490.344396062319
150,-4_2,615.0,28870.631734769624
150,-2_0,126.0,5249.425406821607
180,2_2,0.0,0.0
180,-4_0,256.0,5249.444444444444
180,5_2,0.0,0.0
180,7_2,0.0,0.0
180,4_0,0.0,0.0
180,-1_0,147.0,6189.908598547546
180,3_0,5.0,7354.701309923481
180,-5_1,169.0,5249.444444444444
180,-9_2,41.0,5249.444444444444
180,1_2,0.0,0.0
180,-7_2,301.0,12860.7662941207
180,-8_1,0.0,3584.3677805457146
180,-2_1,123.0,2624.722222222222
180,6_1,75.0,10490.738086029749
180,8_2,0.0,0.0
180,0_0,248.0,13150.528836474054
180,4_1,0.0,0.0
180,6_0,120.0,7874.166666666666
180,9_1,0.0,0.0
180,-3_0,9.0,12643.843610911275
180,-0_0,0.0,0.0
180,2_1,0.0,0.0
180,-6_0,179.0,18821.976982782235
180,1_1,0.0,0.0
180,-5_0,263.0,7874.166666666666
180,7_1,0.0,0.0
180,2_0,0.0,0.0
180,5_0,0.0,0.0
180,-6_1,195.0,31552.672190890476
180,-8_0,16.0,2624.722222222222
180,-0_2,0.0,0.0
180,3_1,25.0,21610.07161394773
180,-5_2,836.0,34124.99055796488
180,-4_1,139.0,2624.722222222222
